Time,Latitude, Longitute
117064,42.2753765,-71.8074009
9690047,42.2753765,-71.8074009
30002118,42.2753763,-71.8074009
50040007,42.275376,-71.8074008
69857121,42.2753758,-71.8074007
89940072,42.2753755,-71.8074009
111025095,42.2753755,-71.8074009
130042077,42.2753753,-71.8074009
151139021,42.2753751,-71.8074009
170066119,42.2753749,-71.8074009
189834118,42.2753746,-71.807401
209969998,42.2753746,-71.807401
229651928,42.2753744,-71.807401
251142025,42.2753742,-71.807401
269827128,42.275374,-71.8074009
290472985,42.2753738,-71.8074008
309582949,42.2753738,-71.8074008
329883099,42.2753736,-71.8074007
350138903,42.2753734,-71.8074007
369596005,42.2753731,-71.8074005
389995099,42.2753729,-71.8074005
409528017,42.2753729,-71.8074005
430706978,42.2753727,-71.8074003
450549126,42.2753724,-71.8074001
469983101,42.2753722,-71.8073998
490013123,42.2753719,-71.8073995
509738923,42.2753719,-71.8073995
529670001,42.2753717,-71.8073993
550539971,42.2753715,-71.8073991
570338965,42.2753713,-71.8073989
589728117,42.275371,-71.8073988
610031128,42.275371,-71.8073988
629667044,42.2753709,-71.8073986
650295020,42.2753707,-71.8073983
669542075,42.2753706,-71.8073981
689887047,42.2753704,-71.8073978
709728003,42.2753704,-71.8073978
729912997,42.2753703,-71.8073976
753072978,42.2753703,-71.8073974
770038128,42.2753703,-71.8073973
789981127,42.2753704,-71.8073972
809916974,42.2753704,-71.8073972
829814911,42.2753705,-71.8073971
857471943,42.2753708,-71.8073972
869728089,42.275371,-71.8073973
889773131,42.2753712,-71.8073971
909980059,42.2753712,-71.8073971
931203127,42.2753713,-71.8073971
949773074,42.2753715,-71.807397
969794035,42.2753718,-71.8073968
989732028,42.2753719,-71.8073967
1009537936,42.2753719,-71.8073967
1030409098,42.2753723,-71.8073966
1049793959,42.2753728,-71.8073971
1070547104,42.275373,-71.8073974
1089711905,42.275374,-71.8073991
1110075951,42.275374,-71.8073991
1130280018,42.2753742,-71.8073991
1150064946,42.2753742,-71.8073985
1169879914,42.2753734,-71.8073971
1189692975,42.2753725,-71.8073956
1210065127,42.2753725,-71.8073956
1230098963,42.2753717,-71.8073943
1249735117,42.2753707,-71.8073931
1270031929,42.2753699,-71.8073916
1290585995,42.2753692,-71.8073905
1309750081,42.2753692,-71.8073905
1330176115,42.2753684,-71.8073891
1349792004,42.2753679,-71.8073881
1369606972,42.2753676,-71.8073874
1389970065,42.2753675,-71.8073871
1409929991,42.2753675,-71.8073871
1430342913,42.2753675,-71.8073873
1449618102,42.2753672,-71.8073869
1469610930,42.2753672,-71.8073864
1489624978,42.2753679,-71.807388
1510493994,42.2753679,-71.807388
1529556990,42.2753688,-71.8073901
1550203085,42.2753693,-71.8073913
1569778920,42.2753702,-71.8073931
1589788914,42.2753707,-71.8073941
1609522105,42.2753707,-71.8073941
1629689932,42.2753712,-71.8073949
1651264906,42.2753716,-71.8073964
1669652939,42.2753724,-71.8073975
1690127135,42.2753732,-71.8073992
1709895134,42.2753732,-71.8073992
1729784012,42.2753737,-71.8074002
1749747992,42.2753749,-71.807402
1776912928,42.2753755,-71.8074032
1789495945,42.2753759,-71.8074046
1809669018,42.2753759,-71.8074046
1830080033,42.275377,-71.8074068
